root_reference,current_reference,added,replacement_added,executed,cancelled,deleted,replaced_out,remaining,balanced
8881,8881,2000,0,0,0,2000,0,0,1
8913,32997,400,400,0,0,400,400,0,1
8933,8933,2000,0,0,0,2000,0,0,1
8961,8961,600,0,0,0,600,0,0,1
8993,121553,900,900,0,0,900,900,0,1
9013,9013,600,0,0,0,600,0,0,1
9033,9033,900,0,0,0,900,0,0,1
496,496,700,0,0,0,700,0,0,1
42,31266,1000,500,0,0,500,1000,0,1
604,604,700,0,0,0,700,0,0,1
652,120448,2200,6600,0,0,2200,6600,0,1
692,58036,700,300,0,0,300,700,0,1
62,62,1500,0,0,0,1500,0,0,1
748,748,700,0,0,0,700,0,0,1
70,13502,1000,500,0,0,500,1000,0,1
800,800,2200,0,0,0,2200,0,0,1
82,82,1500,0,0,0,1500,0,0,1
155,155,25000,0,0,0,25000,0,0,1
163,163,8800,0,0,0,8800,0,0,1
167,167,6200,0,0,0,6200,0,0,1
171,171,25000,0,0,0,25000,0,0,1
175,175,15000,0,0,12500,2500,0,0,1
183,126183,1000,2500,0,0,500,3000,0,1
187,187,15000,0,0,7500,7500,0,0,1
199,158219,1500,1500,0,0,1500,1500,0,1
211,64587,1000,1000,0,0,1000,1000,0,1
219,219,15000,0,0,0,15000,0,0,1
223,223,15000,0,0,0,15000,0,0,1
227,202703,1500,4500,0,0,1500,4500,0,1
9901,9901,500,0,0,0,500,0,0,1
239,239,1000,0,0,0,1000,0,0,1
243,243,1000,0,0,0,1000,0,0,1
9921,9921,500,0,0,0,500,0,0,1
9945,9945,1500,0,0,0,1500,0,0,1
263,79715,1000,1000,0,0,500,1500,0,1
267,267,2000,0,0,0,2000,0,0,1
275,275,1000,0,0,0,1000,0,0,1
9989,57741,500,500,0,0,500,500,0,1
10017,10017,500,0,0,0,500,0,0,1
283,283,1000,0,0,0,1000,0,0,1
287,287,1000,0,0,0,1000,0,0,1
291,291,2000,0,0,0,2000,0,0,1
10061,10061,1500,0,0,0,1500,0,0,1
299,483107,2000,2000,0,0,2000,2000,0,1
303,303,1000,0,0,0,1000,0,0,1
311,104475,1000,1000,0,0,500,1500,0,1
315,168731,2000,500,0,0,500,2000,0,1
319,103587,1200,2200,0,0,200,3200,0,1
10165,192093,3900,5700,0,0,1900,7700,0,1
327,327,1200,0,0,0,1200,0,0,1
10209,108837,4000,4600,0,0,600,8000,0,1
335,335,800,0,0,0,800,0,0,1
343,343,700,0,0,200,500,0,0,1
10249,10249,3900,0,0,0,3900,0,0,1
10281,10281,4000,0,0,0,4000,0,0,1
347,347,400,0,0,0,400,0,0,1
351,351,1200,0,0,0,1200,0,0,1
10345,10345,200,0,0,0,200,0,0,1
10365,62117,200,200,0,0,200,200,0,1
10393,10393,500,0,0,0,500,0,0,1
383,383,1000,0,0,0,1000,0,0,1
10417,10417,210,0,0,0,210,0,0,1
387,77539,2000,500,0,0,500,2000,0,1
391,391,3000,0,0,0,3000,0,0,1
10469,10469,200,0,0,0,200,0,0,1
399,399,1000,0,0,0,1000,0,0,1
10513,83981,200,200,0,0,100,300,0,1
431,77535,800,700,0,0,500,1000,0,1
10537,10537,10,0,0,0,10,0,0,1
1548,1548,132,0,0,0,132,0,0,1
10561,487473,500,1000,0,0,500,1000,0,1
447,447,3000,0,0,0,3000,0,0,1
10581,10581,2000,0,0,0,2000,0,0,1
1596,1596,4500,0,0,3800,700,0,0,1
1608,1608,62,0,0,0,62,0,0,1
10605,10605,1000,0,0,0,1000,0,0,1
10637,10637,1500,0,0,0,1500,0,0,1
1644,1644,38500,0,2700,0,35800,0,0,1
1648,1648,4500,0,0,0,4500,0,0,1
10673,10673,1000,0,0,0,1000,0,0,1
491,491,500,0,0,0,500,0,0,1
10693,589689,1500,12000,0,0,1500,12000,0,1
182,182,32,0,0,0,32,0,0,1
10717,10717,900,0,0,0,900,0,0,1
499,499,2200,0,0,0,2200,0,0,1
503,503,40,0,0,0,40,0,0,1
1720,1720,4500,0,0,2300,2200,0,0,1
1724,1724,25000,0,0,0,25000,0,0,1
1728,1728,500,0,0,0,500,0,0,1
1764,1764,24,0,24,0,0,0,0,1
1768,1768,4500,0,0,0,4500,0,0,1
1772,1772,500,0,0,0,500,0,0,1
10777,10777,10900,0,0,0,10900,0,0,1
202,202,209,0,0,0,209,0,0,1
1804,1804,1000,0,0,0,1000,0,0,1
559,559,1100,0,0,600,500,0,0,1
10829,52225,1000,1300,0,0,300,2000,0,1
1832,1832,24,0,0,0,24,0,0,1
1840,1840,500,0,0,0,500,0,0,1
10853,52221,700,700,0,0,700,700,0,1
10885,10885,1000,0,0,0,1000,0,0,1
10889,10889,2000,0,0,0,2000,0,0,1
599,599,1100,0,0,0,1100,0,0,1
1916,1916,300,0,0,0,300,0,0,1
1924,1924,26,0,0,0,26,0,0,1
1944,1944,1000,0,0,0,1000,0,0,1
10917,10917,1000,0,0,0,1000,0,0,1
234,234,2828,0,0,0,2828,0,0,1
10937,10937,661,0,0,0,661,0,0,1
1972,1972,500,0,0,0,500,0,0,1
10945,10945,700,0,0,0,700,0,0,1
10965,10965,2000,0,0,0,2000,0,0,1
2032,60752,1000,2000,0,0,300,2700,0,1
2068,77844,1000,3000,0,0,1000,3000,0,1
11153,11153,1000,0,0,0,1000,0,0,1
679,679,8,0,0,0,8,0,0,1
278,278,100,0,0,0,100,0,0,1
2088,2088,3000,0,0,0,3000,0,0,1
11169,11169,126,0,0,0,126,0,0,1
2092,2092,100,0,0,0,100,0,0,1
699,699,2200,0,0,1100,1100,0,0,1
2120,2120,1500,0,0,0,1500,0,0,1
2124,2124,400,0,0,0,400,0,0,1
2148,2148,500,0,0,0,500,0,0,1
2168,2168,1500,0,0,0,1500,0,0,1
